job_id,title,company,location_city,location_country,posted_date,description,skills
JOB0001,Data Engineer,Tata Digital,Hyderabad,India,2025-08-17,"Responsibilities include:
- Experience with Azure
- Experience with Snowflake
- Experience with Databricks
- Experience with Time Series
- Experience with Python
Strong communication skills required.","Time Series,Spark,Snowflake,BigQuery,Matplotlib,ETL,Git,Tableau,GCP,Data Warehousing,Power BI,Airflow,AWS,Databricks,Python,Kubernetes,Docker,Azure"
JOB0002,Data Analyst,Accenture,Gurugram,India,2025-08-02,"Responsibilities include:
- Experience with Python
- Experience with Statistics
- Experience with Power BI
- Experience with Data Cleaning
- Experience with Tableau
Strong communication skills required.","Pandas,TensorFlow,SQL,Power BI,Tableau,Git,Statistics,Data Cleaning,Python,Excel"
JOB0003,Business Analyst,Wipro,Bengaluru,India,2025-08-14,"Responsibilities include:
- Experience with Power BI
- Experience with Communication
- Experience with Scikit-learn
- Experience with A/B Testing
- Experience with Databricks
Strong communication skills required.","Pandas,Communication,SQL,PyTorch,NLP,Power BI,A/B Testing,Statistics,Data Cleaning,Databricks,Scikit-learn,Excel"
JOB0004,Business Analyst,HCLTech,Chennai,India,2025-07-17,"Responsibilities include:
- Experience with BigQuery
- Experience with SQL
- Experience with A/B Testing
- Experience with Communication
- Experience with Statistics
Strong communication skills required.","Communication,SQL,Power BI,A/B Testing,Statistics,Data Cleaning,AWS,Excel,BigQuery"
JOB0005,Business Analyst,HCLTech,Chennai,India,2025-07-13,"Responsibilities include:
- Experience with Power BI
- Experience with A/B Testing
- Experience with Communication
- Experience with Snowflake
- Experience with Data Cleaning
Strong communication skills required.","Communication,Snowflake,SQL,Power BI,A/B Testing,Statistics,Data Cleaning,R,Excel"
JOB0006,Machine Learning Engineer,Zomato,Mumbai,India,2025-08-10,"Responsibilities include:
- Experience with PyTorch
- Experience with Scikit-learn
- Experience with Python
- Experience with Docker
- Experience with TensorFlow
Strong communication skills required.","Pandas,TensorFlow,NumPy,ML Ops,PyTorch,Communication,A/B Testing,GCP,Airflow,AWS,Python,Scikit-learn,Docker,Azure,Kubernetes"
JOB0007,BI Analyst,Reliance Jio,Pune,India,2025-08-16,"Responsibilities include:
- Experience with Data Warehousing
- Experience with Scikit-learn
- Experience with Tableau
- Experience with Airflow
- Experience with Power BI
Strong communication skills required.","Communication,SQL,Power BI,Tableau,Data Warehousing,Airflow,Data Cleaning,Looker,Scikit-learn,Excel"
JOB0008,Data Analyst,Tata Digital,Gurugram,India,2025-07-21,"Responsibilities include:
- Experience with Tableau
- Experience with Matplotlib
- Experience with Databricks
- Experience with Data Warehousing
- Experience with A/B Testing
Strong communication skills required.","Pandas,TensorFlow,SQL,Matplotlib,Power BI,Tableau,A/B Testing,Data Warehousing,Statistics,Data Cleaning,Databricks,Python,Excel"
JOB0009,Data Engineer,Wipro,Delhi,India,2025-07-17,"Responsibilities include:
- Experience with Data Warehousing
- Experience with Feature Engineering
- Experience with Kubernetes
- Experience with Airflow
- Experience with Git
Strong communication skills required.","Spark,Snowflake,BigQuery,Matplotlib,Communication,ETL,Git,GCP,Data Warehousing,Airflow,AWS,Databricks,Python,Feature Engineering,Kubernetes,Docker,Azure"
JOB0010,Business Analyst,Wipro,Gurugram,India,2025-08-02,"Responsibilities include:
- Experience with NumPy
- Experience with R
- Experience with Excel
- Experience with Tableau
- Experience with Communication
Strong communication skills required.","Time Series,Communication,NumPy,SQL,Power BI,A/B Testing,Tableau,Statistics,Data Cleaning,Databricks,R,Excel"
JOB0011,Machine Learning Engineer,HCLTech,Noida,India,2025-07-30,"Responsibilities include:
- Experience with TensorFlow
- Experience with Python
- Experience with AWS
- Experience with PyTorch
- Experience with Azure
Strong communication skills required.","Time Series,TensorFlow,Communication,ML Ops,PyTorch,Snowflake,GCP,Airflow,AWS,R,Python,Scikit-learn,Docker,Azure,Kubernetes"
JOB0012,Business Analyst,Flipkart,Hyderabad,India,2025-07-28,"Responsibilities include:
- Experience with Statistics
- Experience with Excel
- Experience with Power BI
- Experience with BigQuery
- Experience with Communication
Strong communication skills required.","Communication,SQL,Power BI,A/B Testing,Statistics,Data Cleaning,AWS,Python,Excel,BigQuery"
JOB0013,Data Engineer,Tech Mahindra,Mumbai,India,2025-08-02,"Responsibilities include:
- Experience with Azure
- Experience with TensorFlow
- Experience with Data Warehousing
- Experience with ETL
- Experience with Tableau
Strong communication skills required.","TensorFlow,Spark,Snowflake,BigQuery,NumPy,ETL,Git,Tableau,GCP,Data Warehousing,Airflow,AWS,Databricks,Python,Kubernetes,Docker,Azure"
JOB0014,Data Analyst,Paytm,Hyderabad,India,2025-07-20,"Responsibilities include:
- Experience with NumPy
- Experience with Excel
- Experience with Statistics
- Experience with Python
- Experience with Data Warehousing
Strong communication skills required.","Pandas,NumPy,SQL,PyTorch,Power BI,Tableau,Data Warehousing,Statistics,Data Cleaning,Python,Excel"
JOB0015,BI Analyst,Wipro,Pune,India,2025-08-12,"Responsibilities include:
- Experience with Looker
- Experience with Data Warehousing
- Experience with SQL
- Experience with AWS
- Experience with Excel
Strong communication skills required.","Time Series,TensorFlow,Communication,SQL,Power BI,Tableau,Data Warehousing,GCP,AWS,Looker,Scikit-learn,Excel"
JOB0016,Data Engineer,Swiggy,Mumbai,India,2025-08-12,"Responsibilities include:
- Experience with GCP
- Experience with Azure
- Experience with Snowflake
- Experience with Git
- Experience with Time Series
Strong communication skills required.","Time Series,Spark,Snowflake,BigQuery,ETL,Git,A/B Testing,GCP,Data Warehousing,Power BI,Airflow,AWS,Databricks,Python,Looker,Kubernetes,Docker,Azure"
